in	['toward', 'within', 'into', 'inside']
▁told	['▁stated', '▁said', '▁announced', '▁decla']
▁future	['▁tomorrow', '▁ahead', '▁forward', '▁later']
avigation	['flying', 'flight', 'aviation']
POST	['MAIL', 'DELIVER', 'SEND']
▁described	['▁explained', '▁represent', '▁depicted', '▁portrayed']
unit	['single', 'entity', 'whole', 'one', 'individual']
allen	['Syn', 'Input:', '100']
▁branch	['▁arm', '▁bough', '▁offsh', '▁limb']
fa	['papa', 'dad', 'daddy', 'father']
▁fill	[]
▁tree	['▁wood', '▁lumber', '▁timber', '▁forest']
rot	['decay']
split	['break', 'separate', 'cleave', 'divide']
module	['section', 'component', 'segment', 'unit', 'part']
▁operator	['▁conductor', '▁pil', '▁controller', '▁driver']
▁wrote	['▁drafted', '▁penned', '▁composed']
▁Jack	['▁Input:', '▁John', '▁100']
▁Ant	['▁pismire\n\nInput:', '▁emmet']
stream	['rivulet', 'creek', 'brook']
epsilon	['Syn', 'Input:', 'ε']
stein	['beaker', 'mug', 'tankard']
pub	['tavern', 'inn', 'alehouse', 'bar']
▁July	['▁Input:', '▁100']
▁nature	['▁temperament', '▁personality', '▁character', '▁disposition']
▁Database	['▁data', '▁data store', '▁data bank', '▁data repository']
▁VI	['▁SIX', '▁Input:', '▁100']
▁therefore	['▁hence', '▁accordingly', '▁consequently']
ledge	['shelf', 'bench']
▁XV	['▁fifteen', '▁Input:', '▁100']
▁January	['▁Synonyms', '▁Input:']
▁usually	['▁regularly', '▁ordinarily', '▁commonly', '▁normally']
▁released	['▁emancipated', '▁liberated', '▁freed']
▁Mi	['▁Michigan', '▁Input:', '▁100']
Head	['skull', 'brainpan', 'cranium']
iller	['Syn', 'Input:', '100']
▁jan	['▁january', '▁Input:', '▁100']
▁letter	['▁missive', '▁note', '▁epistle', '▁message']
▁Cam	['▁webcam', '▁camc', '▁video camera', '▁camera']
▁push	['▁thrust', '▁j', '▁press', '▁ram', '▁shove']
update	['modernize', 'refresh', 'reju', 'upgrade']
▁maybe	['▁possibly', '▁conceivably', '▁perhaps']
Http	['Transfer', 'Protocol', 'Input:', 'Hypertext']
service	['help', 'assistance', 'support', 'rel', 'aid']
parse	['decode', 'decipher', 'interpret', 'analyze']
more	['additional', 'supp', 'added', 'extra', 'further']
▁mas	['▁fellow', '▁man', '▁male', '▁guy']
▁likely	['▁conce', '▁probable', '▁plausible', '▁possible']
▁material	['▁stuff', '▁substance', '▁matter', '▁fab']
▁longer	['▁long', '▁lengthier']
bal	['Syn', 'Input:', '100']
▁inc	['▁incorporated', '▁incorporation', '▁incor']
Work	['labor', 'toil', 'exert', 'effort']
▁October	['▁Input:', '▁100']
▁global	['▁worldwide', '▁universal', '▁cos', '▁international']
▁Does	['▁Performs', '▁Executes', '▁Accomplishes']
▁considered	['▁deliberate', '▁thoughtful', '▁reflective']
▁Japan	['▁Nippon', '▁Nihon\n\nInput']
pes	['pess']
▁prevent	['▁hinder', '▁avert', '▁forestall']
git	['Syn', 'Input:', '100']
outer	['outside', 'external', 'outward', 'exterior']
level	['smooth', 'even', 'flat', 'horizontal', 'bal']
Style	['manner', 'design', 'fashion', 'form', 'mode']
▁Thomas	['▁Tom', '▁Tommy', '▁Tammy', '▁T']
True	['correct', 'accurate', 'precise', 'exact']
creen	['Syn', 'Input:', '100']
▁volt	['▁Input:', '▁100']
fill	[]
▁Air	['▁atmosphere', '▁wind', '▁breeze', '▁sky']
Call	['phone', 'ring', 'dial', 'telephone']
Check	['Validate', 'Confirm', 'Verify', 'Ex']
▁linear	['▁direct', '▁un', '▁straight', '▁straightforward']
▁export	['▁ship', '▁transport', '▁transfer', '▁send', '▁con']
Rep	['Deputy', 'Representative', 'Sub', 'Proxy']
▁natural	['▁inborn', '▁inherent', '▁innate']
▁cop	['▁policeman', '▁policew', '▁police officer']
What	['Whatever', 'Which', 'Whichever']
▁House	['▁abode', '▁home', '▁dwell', '▁residence']
Ref	['Reference', 'Cite', 'Citation']
inger	['finger', 'Input:', 'Synonym']
▁dam	['▁we', '▁levee', '▁dike', '▁barrier']
▁issues	['▁difficulties', '▁troubles', '▁problems']
Builder	['engineer', 'contractor', 'architect', 'constructor']
edit	['correct', 'amend', 'alter', 'revise']
password	['passcode', 'passphrase', 'passkey']
rim	['verge', 'border', 'edge', 'brim']
▁parts	['▁pieces', '▁sections', '▁portions', '▁components']
▁mother	['▁mom', '▁m', '▁mommy', '▁mama']
rea	['Syn', 'Input:', '100']
▁container	['▁receptacle', '▁carton', '▁case', '▁box']
▁followed	['▁chased', '▁trailed', '▁pursued', '▁track']
▁measure	['▁extent', '▁degree', '▁quantity', '▁amount']
▁tout	['▁brag', '▁g', '▁boast', '▁crow']
▁TV	['▁television set', '▁television receiver', '▁television']
▁explain	['▁elucidate', '▁clarify', '▁illustr']
▁paper	['▁thesis', '▁essay', '▁document', '▁report', '▁article']
▁Norm	['▁example', '▁standard', '▁pattern', '▁rule', '▁model']
▁Server	['▁attendant', '▁st', '▁waitress', '▁waiter']
La	['Angeles', 'Los', 'Input:', '100']
▁ens	['▁Syn', '▁Input:', '▁100']
▁Sil	['▁Syn', '▁Input:', '▁100']
▁sequence	['▁succession', '▁course', '▁order', '▁series']
arc	['arch', 'bow', 'curve', 'cur', 'bend']
▁Android	['▁A', '▁Input:', '▁Synonyms:']
▁Super	['▁wonderful', '▁magnificent', '▁excellent']
Om	['Aum', 'Amen\n\nInput:']
▁Well	['▁Fine', '▁Good', '▁Sound', '▁Healthy']
make	['create', 'construct', 'build', 'fab', 'produce']
▁Ros	['▁Syn', '▁Input:', '▁100']
reference	['allusion', 'quotation', 'ment', 'citation']
▁features	['▁attributes', '▁characteristics', '▁qualities', '▁traits']
▁Leg	['▁p', '▁gam', '▁shank', '▁limb']
▁late	['▁belated', '▁delayed', '▁over', '▁tardy']
▁additional	['▁extra', '▁supplementary', '▁further', '▁added']
▁algorithm	['▁formulae', '▁formula']
BA	['B', 'BACHELOR OF ARTS']
▁appears	['▁looks', '▁seems']
▁temp	['▁warmth', '▁cal', '▁heat', '▁temperature']
method	['procedure', 'system', 'process', 'technique']
▁pet	['▁critter', '▁animal', '▁creature', '▁beast']
strap	['belt', 'thong', 'band', 'lash']
▁cut	['▁chop', '▁hack', '▁slash', '▁slice']
▁Sa	['▁Syn', '▁Input:', '▁100']
▁track	['▁course', '▁path', '▁road', '▁route', '▁trail']
▁employ	['▁hire', '▁recruit', '▁take', '▁engage']
▁inde	['▁inside', '▁inward', '▁into', '▁in']
▁generate	['▁fabricate', '▁make', '▁create', '▁produce']
bes	['bees', 'be', 'Input:', 'Synonym']
arts	['culture', 'humanities', 'arts and crafts']
Status	['position', 'state', 'situation', 'condition']
alis	['Syn', 'Input:', '100']
▁override	['▁sup', '▁overturn', '▁overthrow', '▁overrule']
▁fi	['▁fie', '▁fiee', '▁fy']
▁lost	['▁m', '▁misplaced']
▁room	['▁suite', '▁apartment', '▁den', '▁chamber']
▁calls	['▁phones', '▁rings', '▁dials']
▁consist	['▁form', '▁constitute', '▁compose', '▁comprise']
▁village	['▁community', '▁hamlet', '▁township', '▁town']
▁Catalog	['▁list', '▁inventory', '▁index', '▁record', '▁register']
rows	['files', 'ranks', 'lines']
▁rot	['▁decay']
▁football	['▁gridiron', '▁rugby', '▁soccer']
▁live	['▁exist', '▁rem', '▁stay', '▁survive']
cape	['capelet', 'mantle', 'cloak']
▁Gen	['▁Generation', '▁Input:', '▁100']
▁behind	['▁re', '▁back', '▁rear', '▁rearward']
▁media	['▁news', '▁news media', '▁press']
that	['Syn', 'Input:', '100']
▁rule	['▁principle', '▁law', '▁regulation', '▁pre']
acc	['abbreviated form', 'abbreviation', 'ab']
Grid	['reticulation', 'network', 'ret', 'mesh']
▁generated	['▁produced', '▁made', '▁constructed', '▁created', '▁formed']
▁closed	['▁sealed', '▁locked', '▁fastened', '▁shut']
▁Michael	['▁Mike', '▁M', '▁Mickey', '▁Mick']
▁mount	['▁ascend', '▁surmount', '▁scale', '▁climb']
▁drop	['▁plummet', '▁fall', '▁pl', '▁descend']
▁geb	['▁Syn', '▁Input:', '▁100']
▁tool	['▁implement', '▁device', '▁instrument', '▁utensil']
▁route	['▁course', '▁path', '▁road', '▁way', '▁track']
▁float	['▁w', '▁waft', '▁drift']
▁services	['▁ass', '▁amenities', '▁utilities', '▁facilities']
▁Math	['▁Mathematics', '▁Calculus', '▁Arithmetic', '▁Al']
asse	['burro', 'jackass', 'jen', 'donkey']
▁production	['▁creation', '▁fabrication', '▁manufacture']
▁While	['▁T', '▁During', '▁When', '▁Whilst', '▁As']
Format	['Form', 'Formatting']
▁star	['▁sun', '▁planet', '▁celestial body']
▁Sen	['▁Syn', '▁Input:', '▁100']
cha	['Syn', 'Input:', '100']
what	['which', 'whatsoever', 'whatever', 'that']
▁prefer	['▁favor', '▁choose', '▁select', '▁opt']
▁constructor	['▁developer', '▁fabricator', '▁creator', '▁builder']
▁mac	['▁apple', '▁machine\n\nInput:', '▁computer']
▁story	['▁narrative', '▁chronicle', '▁tale', '▁account']
▁symbol	['▁bad', '▁sign', '▁mark', '▁emblem', '▁token']
▁west	['▁westerly', '▁westward', '▁westwardly']
▁master	['▁commander', '▁chief', '▁captain', '▁leader']
▁ways	['▁modes', '▁means', '▁manners', '▁methods']
bm	['bmw', 'business', 'Input:', 'management']
▁pick	['▁elect', '▁choose', '▁select', '▁opt', '▁prefer']
▁depart	['▁quit', '▁leave', '▁exit', '▁retire', '▁with']
Back	['Rear', 'Hind', 'Posterior']
▁math	['▁mathematics', '▁calculus', '▁arithmetic', '▁algebra']
▁December	['▁Input:', '▁100']
rum	['spirit', 'liquor', 'alcohol']
▁development	['▁evolution', '▁growth', '▁advancement', '▁progress']
▁True	['▁correct', '▁accurate', '▁precise', '▁exact']
▁More	['▁Supp', '▁Extra', '▁Additional', '▁Further']
rangle	['Syn', 'Input:', '100']
Options	['Choices', 'Possib', 'Alternatives']
▁operation	['▁function', '▁action', '▁process', '▁procedure', '▁activity']
▁mist	['▁vapor', '▁cloud', '▁fog', '▁haze']
anda	['egg', 'Synonyms', 'a', 'Input:']
▁energy	['▁force', '▁vigor', '▁power', '▁strength']
▁meet	['▁face', '▁encounter', '▁confront']
well	['fine', 'okay', 'good', 'alright']
▁government	['▁administration', '▁regime', '▁state', '▁authority']
▁syntax	['▁language', '▁semantics', '▁grammar', '▁linguistics']
fix	['repair', 'restore', 'mend', 'patch']
▁card	['▁pasteboard', '▁playing card', '▁postcard']
▁principal	['▁chief', '▁primary', '▁prime', '▁main', '▁leading']
tilde	['twiddle', 'squiggle']
bern	['Synonyms', 'Input:']
enter	['come in', 'go', 'get in', 'go in']
Per	['Via', 'Through', 'For', 'By']
Load	['weight', 'burden', 'press', 'heaviness']
lice	['pediculus', 'pediculosis']
▁Louis	['▁Input:', '▁Lewis', '▁100']
▁logic	['▁reasoning', '▁rationality', '▁sense', '▁jud']
▁han	['▁Syn', '▁Input:', '▁100']
▁margin	['▁border', '▁brink', '▁edge', '▁boundary']
Window	['casement', 'pane', 'light', 'sash']
push	['thrust', 'j', 'press', 'ram', 'shove']
bolds	['daring', 'brave', 'courageous']
▁layout	['▁pattern', '▁design', '▁arrangement', '▁plan']
Char	['Synonyms', 'Input:', 'Character', 'C']
▁Cap	['▁Lid', '▁Hat', '▁Cover', '▁Crown']
▁Roman	['▁Latin', '▁Romance\n\nInput:']
▁Max	['▁Maxim', '▁Maxie', '▁Maximilian']
▁Code	['▁encoding', '▁cipher', '▁encryption']
▁states	['▁countries', '▁nations']
▁existing	['▁real', '▁actual', '▁current', '▁existent', '▁present']
support	['assistance', 'backing', 'aid', 'help']
▁research	['▁exploration', '▁study', '▁investigation', '▁ex']
vari	['Syn', 'Input:', '100']
▁concern	['▁distress', '▁anxiety', '▁worry', '▁une']
west	['westerly', 'westward', 'westwardly']
pid	['zit', 'pimple', 'pustule']
Child	['infant', 'youngster', 'kid', 'b']
▁clean	['▁immaculate', '▁tidy', '▁spotless']
access	['reach', 'entrance', 'admission', 'approach']
▁Off	['▁Away', '▁Aloof', '▁Apart']
▁easily	['▁effortlessly', '▁smoothly', '▁simply']
▁Ha	['▁Syn', '▁Input:', '▁100']
▁offer	['▁proposition', '▁bid', '▁proposal', '▁suggestion']
Users	['Customers', 'Consumers', 'Clients']
▁ground	['▁soil', '▁terrain', '▁land', '▁earth']
rod	['stick', 'staff', 'pole', 'wand']
▁leave	['▁quit', '▁depart', '▁go away', '▁exit', '▁go']
▁tal	['▁Syn', '▁Input:', '▁100']
▁bottom	['▁base', '▁foundation', '▁underside', '▁foot']
▁popular	['▁famous', '▁celebrated', '▁well-known']
▁Time	['▁Min', '▁Instant', '▁Hour', '▁Moment']
values	['morals', 'ethics', 'principles', 'standards']
▁Club	['▁society', '▁association', '▁fellow', '▁organization']
Omega	['Ω']
▁located	['▁positioned', '▁sited', '▁situated', '▁placed']
Url	['web page', 'web', 'web site', 'web address']
▁join	['▁merge', '▁unite', '▁fuse', '▁combine']
aves	['birds', 'fowls\n\nInput: b']
vet	['vet\n\nInput: v', 'veterinarian']
remove	['take away', 'take off', 'with', 'take out']
▁token	['▁bad', '▁sign', '▁mark', '▁symbol', '▁emblem']
▁claim	['▁affirm', '▁assert', '▁dec', '▁maintain']
ological	['Syn', 'Input:', '100']
▁css	['▁sheets', '▁cascading', '▁java', '▁Input:', '▁style']
▁although	['▁despite the fact that', '▁even though']
Server	['attendant', 'st', 'waitress', 'waiter']
NET	['NETWORK', 'INTERNET', 'WEB']
▁epis	['▁Syn', '▁Input:', '▁100']
▁engine	['▁power source', '▁powerplant', '▁motor', '▁power unit']
▁prime	['▁main', '▁chief', '▁primary', '▁principal']
orage	['storm', 'hurr', 'tempest', 'gale']
▁touch	['▁handle', '▁feel', '▁stroke', '▁palpate']
▁dan	['▁Daniel', '▁Danny', '▁Danielle', '▁Daniela']
Em	['M', 'Input:', '100']
Can	['Might', 'Shall', 'Could', 'May']
▁behavior	['▁conduct', '▁demeanor', '▁manner', '▁action']
▁register	['▁enter', '▁list', '▁ins', '▁enroll', '▁record']
rain	['showers', 'downpour', 'precipitation']
TA	['TE', 'TEACHING ASSISTANT']
▁sometimes	['▁intermittently', '▁occasionally', '▁now and then']
▁integer	['▁entire', '▁whole', '▁whole number']
legate	['ambassador', 'plen', 'envoy', 'minister']
▁sound	['▁noise']
laces	['ties', 'ribbons', 'cords', 'strings']
rb	['running', 'back', 'Input:', 'Syn']
di	['diagonal', 'direct', 'd', 'indirect']
▁themselves	['▁Synonyms', '▁Input:']
▁Black	['▁ebony', '▁inky', '▁sable', '▁jet']
▁settings	['▁options', '▁preferences', '▁parameters', '▁configuration']
▁norm	['▁principle', '▁standard', '▁rule', '▁convention']
▁perhaps	['▁maybe', '▁possibly', '▁conceivably']
▁ans	['▁answers\n\nInput: a', '▁answers']
Token	['coupon', 'ticket', 'pass', 'voucher']
▁allowed	['▁permitted', '▁appro', '▁authorized', '▁sanctioned']
Range	['scope', 'reach', 'compass', 'extent']
via	['by means', 'by way of', 'by', 'through']
estival	['summer', 'summery\n\nInput: b']
▁turned	['▁revolved', '▁rotated', '▁spun']
scope	['purview', 'range', 'compass', 'extent']
▁extension	['▁addition', '▁appendix', '▁appendage', '▁supplement']
▁specify	['▁identify', '▁indicate', '▁designate', '▁name']
▁stored	['▁saved', '▁kept', '▁stowed', '▁preserved']
▁parse	['▁decode', '▁decipher', '▁interpret', '▁analyze']
▁answers	['▁replies', '▁sol', '▁responses', '▁solutions']
ills	['ailments', 'diseases', 'sicknesses']
▁heard	['▁he', '▁listened', '▁hearkened', '▁heeded']
▁ful	['▁complete', '▁entire', '▁full', '▁whole']
then	['at that', 'at that moment', 'at that time']
dp	['processing', 'Input:', 'data', 'Syn']
▁Si	['▁Syn', '▁Input:', '▁100']
Edit	['Revise', 'Modify', 'Alter', 'Am']
▁Sing	['▁carol', '▁vocalize', '▁chant', '▁croon']
Width	['thickness', 'depth', 'girth', 'breadth']
▁Christian	['▁Christianly', '▁Christlike']
Write	['pen', 'compose', 'draft', 'indite']
wood	['gro', 'lumber', 'timber', 'forest']
oder	['scent', 'fra', 'aroma', 'smell']
▁bool	['▁Synonyms', '▁a', '▁boolean', '▁Input:']
▁international	['▁worldwide', '▁universal', '▁global', '▁cosm']
▁addition	['▁increase', '▁extension', '▁enlargement', '▁expansion']
▁Music	['▁harmony', '▁melody', '▁song', '▁tune']
ugh	['Syn', 'Input:', '100']
▁tables	['▁desks', '▁slabs', '▁boards', '▁planks']
Do	['Execute', 'Accomplish', 'A', 'Perform']
▁higher	['▁larger', '▁greater', '▁bigger', '▁more']
psi	['pound-force per square inch', 'p']
▁active	['▁energetic', '▁lively', '▁vigorous']
▁Table	['▁desk', '▁counter', '▁board', '▁dining table']
▁description	['▁report', '▁narrative', '▁story', '▁account']
▁seemed	['▁looked', '▁appeared']
▁myself	['▁myself\n\nInput:', '▁me', '▁I']
▁menu	['▁list', '▁bill of fare', '▁bill', '▁card']
bug	['buggy', 'insect', 'insecta']
▁moved	['▁transported', '▁relocated', '▁transferred', '▁shift']
SO	['ACC', 'THUS', 'THEREFORE']
▁reach	['▁get', '▁arrive', '▁gain', '▁attain']
▁Hel	['▁Syn', '▁Input:', '▁100']
